epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,57.3883,1.78607,3.56983,1.36293,0.45816,0.04902,0.08194,0.04358,1.58181,4.43314,1.31344,0.000653846,0.000653846,0.000653846
2,96.1607,1.76682,2.63027,1.35145,0.52193,0.0696,0.13171,0.04942,1.91884,4.01333,1.73598,0.00129437,0.00129437,0.00129437
3,140.785,1.86214,2.40535,1.39468,0.48216,0.32353,0.30678,0.14283,1.93641,3.31549,1.63333,0.00190849,0.00190849,0.00190849
4,191.961,1.84643,2.18012,1.44453,0.647,0.50314,0.50477,0.27087,1.68891,3.4955,1.45875,0.0018812,0.0018812,0.0018812
5,247.042,1.86711,2.05361,1.45655,0.5954,0.47549,0.48953,0.24388,1.82965,2.0274,1.62294,0.0018416,0.0018416,0.0018416
6,308.45,1.81917,1.84354,1.45283,0.65519,0.46078,0.52999,0.28217,1.68592,1.90694,1.49026,0.001802,0.001802,0.001802
7,373.009,1.76267,1.71163,1.35529,0.57997,0.51961,0.49985,0.26899,1.64251,1.7123,1.33538,0.0017624,0.0017624,0.0017624
8,431.596,1.70117,1.58369,1.34852,0.68553,0.5049,0.56277,0.30208,1.70739,1.93067,1.42653,0.0017228,0.0017228,0.0017228
9,489.943,1.68762,1.59973,1.3459,0.66059,0.55336,0.57294,0.32077,1.59281,1.69728,1.3238,0.0016832,0.0016832,0.0016832
10,536.168,1.62294,1.48348,1.3059,0.75997,0.62745,0.69841,0.40696,1.52426,1.41223,1.29351,0.0016436,0.0016436,0.0016436
11,575.295,1.55723,1.40549,1.27229,0.70795,0.60603,0.67967,0.38603,1.56062,1.51865,1.39761,0.001604,0.001604,0.001604
12,611.933,1.60319,1.38394,1.28231,0.69325,0.65363,0.69906,0.42001,1.42545,1.46614,1.25535,0.0015644,0.0015644,0.0015644
13,650.465,1.5561,1.34606,1.24297,0.79831,0.65686,0.73601,0.43667,1.52307,1.26257,1.30133,0.0015248,0.0015248,0.0015248
14,687.77,1.51373,1.31241,1.24522,0.71041,0.55882,0.63729,0.39115,1.48536,1.42914,1.30165,0.0014852,0.0014852,0.0014852
15,726.059,1.56535,1.32345,1.25709,0.83172,0.65196,0.77582,0.48364,1.3835,1.16567,1.21291,0.0014456,0.0014456,0.0014456
16,762.681,1.54392,1.27523,1.23811,0.81023,0.73039,0.79017,0.4943,1.39322,1.11833,1.23433,0.001406,0.001406,0.001406
17,804.096,1.45421,1.18888,1.20565,0.83297,0.71569,0.77727,0.4846,1.38236,1.14569,1.24534,0.0013664,0.0013664,0.0013664
18,843.953,1.48494,1.19497,1.21668,0.77649,0.78336,0.81133,0.51784,1.33573,1.1263,1.22284,0.0013268,0.0013268,0.0013268
19,880.723,1.43614,1.10217,1.17826,0.83168,0.7402,0.80143,0.51665,1.40288,1.08289,1.25902,0.0012872,0.0012872,0.0012872
20,915.396,1.39876,1.10508,1.14774,0.82975,0.72549,0.81139,0.52804,1.29839,1.02545,1.201,0.0012476,0.0012476,0.0012476
21,949.119,1.44418,1.08368,1.1729,0.80271,0.77787,0.81354,0.52094,1.32907,1.02196,1.18468,0.001208,0.001208,0.001208
22,985.151,1.39189,1.03192,1.15645,0.80019,0.80392,0.84195,0.55783,1.2842,0.93783,1.15245,0.0011684,0.0011684,0.0011684
23,1020.29,1.41412,1.05038,1.17717,0.86246,0.77941,0.87147,0.56447,1.24961,0.95248,1.1573,0.0011288,0.0011288,0.0011288
24,1059.88,1.37268,1.04856,1.14976,0.7882,0.78441,0.83663,0.54156,1.3117,0.97861,1.15734,0.0010892,0.0010892,0.0010892
25,1099.6,1.35213,1.02268,1.13967,0.80527,0.77029,0.82156,0.54971,1.25366,1.03833,1.14119,0.0010496,0.0010496,0.0010496
26,1134.71,1.36172,1.02321,1.15065,0.87162,0.77451,0.84381,0.53368,1.35266,0.98363,1.19757,0.00101,0.00101,0.00101
27,1168.24,1.29149,0.90911,1.10093,0.81464,0.81863,0.86169,0.56808,1.26765,0.91393,1.16424,0.0009704,0.0009704,0.0009704
28,1204.43,1.3386,0.97979,1.14145,0.79259,0.80551,0.84702,0.55421,1.21717,0.91505,1.15032,0.0009308,0.0009308,0.0009308
29,1242.33,1.27374,0.9353,1.11121,0.87737,0.80882,0.86317,0.56475,1.23246,0.85093,1.14691,0.0008912,0.0008912,0.0008912
